,latitude,longitude
0,11.2361,58.8713
1,11.3865,58.984
2,11.5118,59.078
3,11.637,59.1721
4,11.7622,59.2663
5,11.8874,59.3606
6,12.0375,59.4739
7,12.1625,59.5684
8,12.2875,59.663
9,12.4125,59.7577
10,12.5375,59.8525
